"date","fsa","dose","coverage"
2021-03-29,"K8P","dose_3",NA
2021-03-29,"K8R","dose_1",0.1349036403
2021-03-29,"K8R","dose_2",NA
2021-03-29,"K8R","dose_3",NA
2021-03-29,"K8V","dose_1",0.0807128604
2021-03-29,"K8V","dose_2",NA
2021-03-29,"K8V","dose_3",NA
2021-03-29,"K9A","dose_1",0.1497688421
2021-03-29,"K9A","dose_2",NA
2021-03-29,"K9A","dose_3",NA
2021-03-29,"K9H","dose_1",0.1723417167
2021-03-29,"K9H","dose_2",NA
2021-03-29,"K9H","dose_3",NA
2021-03-29,"K9J","dose_1",0.1762232002
2021-03-29,"K9J","dose_2",NA
2021-03-29,"K9J","dose_3",NA
2021-03-29,"K9K","dose_1",0.211842296
2021-03-29,"K9K","dose_2",NA
2021-03-29,"K9K","dose_3",NA
2021-03-29,"K9L","dose_1",0.1764778477
2021-03-29,"K9L","dose_2",NA
2021-03-29,"K9L","dose_3",NA
2021-03-29,"K9V","dose_1",0.1265007419
2021-03-29,"K9V","dose_2",NA
2021-03-29,"K9V","dose_3",NA
2021-03-29,"L0A","dose_1",0.1214947301
2021-03-29,"L0A","dose_2",NA
2021-03-29,"L0A","dose_3",NA
2021-03-29,"L0B","dose_1",0.1158610639
2021-03-29,"L0B","dose_2",NA
2021-03-29,"L0B","dose_3",NA
2021-03-29,"L0C","dose_1",0.1019900498
2021-03-29,"L0C","dose_2",NA
2021-03-29,"L0C","dose_3",NA
2021-03-29,"L0E","dose_1",0.1277669058
2021-03-29,"L0E","dose_2",NA
2021-03-29,"L0E","dose_3",NA
2021-03-29,"L0G","dose_1",0.0991735537
2021-03-29,"L0G","dose_2",NA
2021-03-29,"L0G","dose_3",NA
2021-03-29,"L0H","dose_1",0.1455445545
2021-03-29,"L0H","dose_2",NA
2021-03-29,"L0H","dose_3",NA
2021-03-29,"L0J","dose_1",0.1058315335
2021-03-29,"L0J","dose_2",NA
2021-03-29,"L0J","dose_3",NA
2021-03-29,"L0K","dose_1",0.1201236194
2021-03-29,"L0K","dose_2",NA
2021-03-29,"L0K","dose_3",NA
2021-03-29,"L0L","dose_1",0.1186384184
2021-03-29,"L0L","dose_2",NA
2021-03-29,"L0L","dose_3",NA
2021-03-29,"L0M","dose_1",0.0804969587
2021-03-29,"L0M","dose_2",NA
2021-03-29,"L0M","dose_3",NA
2021-03-29,"L0N","dose_1",0.1201703681
2021-03-29,"L0N","dose_2",NA
2021-03-29,"L0N","dose_3",NA
2021-03-29,"L0P","dose_1",0.1041012999
