"date","fsa","hot_spot_fsa","cum_cases_per_100","cum_hospitalizations_deaths_per_1000","cum_hospitalizations_per_1000","cum_deaths_per_1000"
2021-03-29,"L2P",0,1.59067452,0.72855321474106,NA,NA
2021-03-29,"L2R",0,1.98492988,0.97676690155585,NA,NA
2021-03-29,"L2S",0,1.76787087,0.7205995388163,NA,NA
2021-03-29,"L2T",0,1.55064891,0.25282319231417,NA,NA
2021-03-29,"L2V",0,1.87233611,0.91333468642176,NA,NA
2021-03-29,"L2W",0,1.1732852,1.35379061371841,NA,NA
2021-03-29,"L3B",0,1.49957155,0.77899820830412,NA,NA
2021-03-29,"L3C",0,1.45690815,1.23078684489223,NA,NA
2021-03-29,"L3K",0,0.81815914,0.59865303068097,NA,NA
2021-03-29,"L3M",0,1.35049306,0.73541701487548,NA,NA
2021-03-29,"L3P",0,1.45985401,1.29922282852621,NA,NA
2021-03-29,"L3R",0,1.68046392,1.37742944117688,NA,NA
2021-03-29,"L3S",1,3.94364474,1.80508176408499,NA,NA
2021-03-29,"L3T",1,1.87931388,1.12758832775234,NA,NA
2021-03-29,"L3V",0,0.46314315,0.33081653304273,NA,NA
2021-03-29,"L3X",0,1.8977753,0.93692687983414,NA,NA
2021-03-29,"L3Y",0,1.67403269,1.18829219479653,NA,NA
2021-03-29,"L3Z",1,2.47732109,1.5679247396125,NA,NA
2021-03-29,"L4A",0,1.70384378,1.00339610991047,NA,NA
2021-03-29,"L4B",1,1.25939422,0.6148941015714,NA,NA
2021-03-29,"L4C",0,2.30351821,1.22300193543025,NA,NA
2021-03-29,"L4E",1,1.97839945,0.62753905604915,NA,NA
2021-03-29,"L4G",0,1.47464065,0.74476800476652,NA,NA
2021-03-29,"L4H",1,4.48329391,1.65089690518431,NA,NA
2021-03-29,"L4J",1,2.94861946,1.90925934294365,NA,NA
2021-03-29,"L4K",1,3.85440092,1.46435855865279,NA,NA
2021-03-29,"L4L",1,3.97102404,2.56832400395127,NA,NA
2021-03-29,"L4M",0,1.07173892,0.65656078014869,NA,NA
2021-03-29,"L4N",0,1.40334869,0.72996030840823,NA,NA
2021-03-29,"L4P",0,1.51477604,0.96028746669971,NA,NA
2021-03-29,"L4R",0,0.74418605,0.97919216646267,NA,NA
2021-03-29,"L4S",0,1.49643705,0.83135391923991,NA,NA
2021-03-29,"L4T",1,5.13530605,2.22420898842103,NA,NA
2021-03-29,"L4W",1,2.75153106,1.5748031496063,NA,NA
2021-03-29,"L4X",1,2.5310775,1.43607234214424,NA,NA
2021-03-29,"L4Y",0,2.37169077,1.35956795951509,NA,NA
2021-03-29,"L4Z",1,2.80175305,1.25218013505657,NA,NA
2021-03-29,"L5A",1,3.10203199,1.44112984579911,NA,NA
2021-03-29,"L5B",1,2.51076225,1.04400278400742,NA,NA
2021-03-29,"L5C",1,2.55306859,1.01083032490975,NA,NA
2021-03-29,"L5E",0,1.84940555,0.55621219495237,NA,NA
2021-03-29,"L5G",0,1.68826589,0.92568103676276,NA,NA
2021-03-29,"L5H",0,1.59455616,0.96485882591916,NA,NA
2021-03-29,"L5J",0,1.52308425,1.142313184198,NA,NA
2021-03-29,"L5K",1,2.59299571,1.47256546513861,NA,NA
2021-03-29,"L5L",1,2.18604189,1.27072371686687,NA,NA
2021-03-29,"L5M",1,2.14799573,0.84034933400352,NA,NA
2021-03-29,"L5N",1,2.24215247,0.61428834695006,NA,NA
2021-03-29,"L5R",1,2.90799754,1.29488192432622,NA,NA
2021-03-29,"L5V",1,2.93847717,1.0324822183618,NA,NA
2021-03-29,"L5W",1,3.75701889,1.08899098179343,NA,NA
2021-03-29,"L6A",1,3.6821804,1.77086619782815,NA,NA
2021-03-29,"L6B",1,2.61093711,0.94237645167549,NA,NA
